camera_id,name,lat,lon,area,score,level,vehicles,pedestrians,signals
8cc75cbc-e050-4947-aee8-639f63fe4ca7,Canal Street @ Chrystie Street,40.715821,-73.994913,Manhattan,1.3,low,1,1,0
8afc5cd6-f735-47e8-bd57-6e6d3b81b442,WBB-20 @ Above Bedford Ave ( Berry St ),40.711356,-73.96519,Manhattan,0.0,low,0,0,0
8a6bc417-4877-4ebe-8052-88c1b261baf1,Central Park West @ 86 St,40.785302,-73.969353,Manhattan,7.9,medium,7,3,0
98fc3e41-66be-42d7-8f69-5cc76ae7226f,BB - Manhattan hub - 156.103,40.710977,-74.003594,Manhattan,0.0,low,0,0,0
ec1e7b42-18de-4475-8c89-9e80f21e5b6c,FDR Drive @ 122 St,40.798685,-73.929148,Manhattan,7.0,medium,7,0,0
ec9eda79-e250-4e6f-a8f6-e51021fb054f,Amsterdam Ave @ 60 St,40.771057,-73.987139,Manhattan,2.0,low,2,0,0
4f8c2e84-c15a-4474-91fb-7e14554d4c4e,Central Park West @ 65 St,40.771797,-73.979217,Manhattan,8.3,medium,8,1,0
332f161d-47cb-4c8a-b6b6-5ad48a55c978,Ave of Americas @ Central Park South,40.765683,-73.976229,Manhattan,13.2,medium,12,4,0
ad3df063-d5d6-458c-84e7-1242060649cf,Ft Washington @ 179 St,40.849349,-73.93894,Manhattan,5.0,medium,5,0,0
984ebbad-ca64-41d8-8008-63aaae316952,Central Park West @ 72 St,40.776225,-73.975974,Manhattan,7.9,medium,7,3,0
0ccf3a51-8981-4e03-92a9-00b1c59f0b9b,BB-24 South Rdwy @ Above South St,40.708186,-73.999623,Manhattan,0.0,low,0,0,0
053e8995-f8cb-4d02-a659-70ac7c7da5db,Broadway @ 45 St,40.757953,-73.98549,Manhattan,0.8999999999999999,low,0,3,0
9cc8495e-aeee-4759-adba-5a6bf5efd4b9,3 Ave @ 23 St,40.7388335617157,-73.9831563349364,Manhattan,5.7,medium,4,4,1
975c7dd6-d6d7-4eaa-843d-fbe8eb7a1eb3,QBB UL CM @ York Ave,40.7590599112718,-73.9594663180461,Manhattan,5.0,medium,5,0,0
b1d5d592-9e36-478e-bedc-5fb02d836bc3,Sutton Pl @ 58 St,40.758044,-73.960189,Manhattan,5.0,medium,5,0,0
09b1235e-d2d1-4451-83a5-5a1c3ec280aa,St Nicholas Ave @ 145 St,40.824031,-73.94477,Manhattan,8.0,medium,8,0,0
1572a83a-0a4f-4a7b-84a0-fec0890a2de3,C4-WST-03-Med_at_Vestry_St,40.723031,-74.01141,Manhattan,13.0,medium,13,0,0
ec9ffb62-e3bf-4352-8bcf-7c9adf5fbe9c,8th Ave @ 31st St,40.750297,-73.99483,Manhattan,16.5,high,15,5,0
155b2bff-5dd2-4109-bd10-e098376c8476,FDR Dr @ 96 Street,40.7821012323438,-73.9436960220336,Manhattan,11.0,medium,11,0,0
34674be5-4791-47f1-b0b2-2db0ff619732,6 Ave @ 39 St,40.752946,-73.98548,Manhattan,16.3,high,16,1,0
3095997f-dd41-4e71-a810-9290576c17a6,12 Ave @ 57 St,40.7715319506809,-73.9942101957323,Manhattan,8.0,medium,8,0,0
9b648eba-3e4a-4c2c-9afc-e659c1083804,MHB-19 Manh N URDW @ Anch,40.710705,-73.992304,Manhattan,0.0,low,0,0,0
f06979b2-3497-4330-9882-a06c8a442b7c,6 Ave @ 34 St,40.749808,-73.987746,Manhattan,9.8,medium,6,11,1
6847c104-0117-4e3f-b30e-e1a859bc8107,FDR Dr @ 101 St ,40.785502,-73.94032,Manhattan,13.0,medium,13,0,0
23bcc0dd-d395-45fe-8106-676ba7293208,Varick St @ Watt St,40.72379,-74.006138,Manhattan,4.9,low,4,3,0
e229e0fd-559b-4c1e-bcba-ac23db1d01e3,6 Ave @ 57 St,40.7643348872061,-73.9772018595711,Manhattan,6.2,medium,5,4,0
